实验族,整理建议,故事环节,用途,已有结论,建议行动,文件数,大小MB,运行目录数,记录到100轮目录数,逐运行建议,报告入口
.DS_Store,工程或索引,零散文件与归档,附件、压缩包或派生统计,归档内容另行核对；不把每个文件算一个实验族。,建立索引，不自动删除。,1,0.005863189697265625,0,0,{},
PromptFL_fedavg_vit_b16_batchSize32,待定用途,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,附录稳健性候选；不能拼成当前LoRA多seed结果。,1453,755.1214818954468,30,27,"{""待定用途"": 30}",
a_refresh_c1_c2_c3_analysis,建议归档,旧 A 方案,CE/gap刷新A pilot,C3相对C2 late Tail更低3.55点；更新幅度也更大；当前配方失败。,停止扩展gap配方；C1/C2已有桥接复用，留一份失败结论。,546,19.743420600891113,3,3,"{""建议归档"": 3}",output/a_refresh_c1_c2_c3_analysis/analysis/report.md
a_refresh_topology_bridge_analysis,待定用途,2 功能机制,CE下 C1/C2 × 两种固定边际拓扑的阶段归因,C2两种拓扑都退化；Client-LT放大late Tail损失1.68点；后续B阶段有明显路径依赖。,机制附录候选；不与LA下E3学习收益混为同一协议。,1184,153.40998077392578,4,4,"{""待定用途"": 4}",output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/analysis/seed42/report.md; output/a_refresh_topology_bridge_analysis/review/详细分析.md
ab_framework_partition_review_20260918,工程或索引,历史审阅,旧A/B总表与审查,保留历史配置解释；其中“待补”状态可能已过时。,本次总账为索引入口，引用原始运行而非重复计数报告。,3,0.014678955078125,0,0,{},output/ab_framework_partition_review_20260918/report.md
boundary_gate_clientlt_seed42,建议归档,旧 gate / oracle,短程gate、oracle及两轮验证,不能替代100轮单共享模型的适配与保持验证。,停止作为论文主结果；留工程/可行性历史。,7,1.7785654067993164,1,0,"{""建议归档"": 1}",
capt_code_audit_20260914,必须保留,证据质量,CAPT协议代码审计,用于识别客户端模型起点、测试驱动调度和聚合规则差异。,保留审计以定义公平外部基线，审计文件不是新实验。,7,0.2333211898803711,0,0,{},output/capt_code_audit_20260914/stage1b_recheck/stage1b_report.md
capt_global_start_seed42_results,待定用途,外部方法协议,CAPT历史版本、global-start与cluster诊断,高尾类精度受类别提示门槛影响；部分版本有测试反馈或优化器状态共享。,保留协议诊断；未统一之前不作最终严格主表。,183,114.3191089630127,2,0,"{""待定用途"": 2}",output/capt_global_start_seed42_results/analysis/report.md
capt_shared_schedules,工程或索引,工程或旧图,日程、入口脚本、合成测试、临时参考图,不属于独立科学实验结果；仅有图片不能还原训练证据。,保留工程用途；不进入论文运行数。,1,0.02891254425048828,0,0,{},
carrier_access_audit,待定用途,2 功能机制,carrier与候选donor访问、局部重适配诊断,训练侧私有信号有正向排序信息；不同条件主要为margin变化，非完整训练收益。,若需要解释B的反馈信号可引用；先对齐当前B协议。,12,0.6153707504272461,0,0,{},
cd_two_seed_summary,待定用途,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,附录稳健性候选；不能拼成当前LoRA多seed结果。,8,0.1021270751953125,0,0,{},output/cd_two_seed_summary/cd_figure_redraw_prompt.md; output/cd_two_seed_summary/cd_result_audit.md
cifar100_LT/2dfea979a307d2b5c17c368507cc5474.jpg,工程或索引,零散文件与归档,附件、压缩包或派生统计,归档内容另行核对；不把每个文件算一个实验族。,建立索引，不自动删除。,1,4.130436897277832,0,0,{},
cifar100_LT/CAPT_cluster_vit_b16_batchSize32,待定用途,外部方法协议,CAPT历史版本、global-start与cluster诊断,高尾类精度受类别提示门槛影响；部分版本有测试反馈或优化器状态共享。,保留协议诊断；未统一之前不作最终严格主表。,162,85.69499206542969,2,0,"{""待定用途"": 2}",
cifar100_LT/ClipLora_SupportNormalized_2x2_seed42,必须保留,2 功能机制,普通 Dirichlet 下支持归一化干预，补充检验聚合影响,Client-LT final Tail 36.75→45.80；Dir 48.70→49.40。协议与固定边际 ERI 不同。,保留四格与代价；放附录或机制补充，不能充当 ERI 的 H3。,457,76.13252925872803,4,4,"{""必须保留"": 4}",output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/lora_figure_data_summary.md
cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,待定用途,跨方法现象,PromptFL Panel C / Experiment D、局部epoch和历史机制,可说明现象在旧prompt协议下存在；有副本、失败seed与不同localE。,附录稳健性候选；不能拼成当前LoRA多seed结果。,2579,1003.2209138870239,39,31,"{""待定用途"": 12, ""建议归档"": 27}",output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/ExperimentD_Main/summary/experimentD_mechanism_conclusion.md
cifar100_LT/capt_main_matched,待定用途,外部方法协议,CAPT历史版本、global-start与cluster诊断,高尾类精度受类别提示门槛影响；部分版本有测试反馈或优化器状态共享。,保留协议诊断；未统一之前不作最终严格主表。,189,48.02109622955322,6,0,"{""待定用途"": 6}",
cifar100_LT/clientLT_seed42,建议归档,无效历史结果,旧LoRA生命周期异常运行,已有修复报告明确不作为有效LoRA训练结果。,排除论文数值与重复种子统计；原始文件留档。,116,17.17220687866211,1,1,"{""建议归档"": 1}",
cifar100_LT/fedtef_clean_topology,建议归档,旧 FedTEF 路线,prompt/adapter/memory/router/acquisition多版本历史探索,研究对象与当前SFRA A/B路线不同；v5组件阶梯中融合、TailAgg和rescue未显示预期收益。,停止扩展旧分支；保留各版数字和负结果，缺类/同曲线seed单独标注。,72,13.500062942504883,2,1,"{""建议归档"": 2}",
cifar100_LT/fedtef_v10_topology_observer,建议归档,旧 FedTEF 路线,prompt/adapter/memory/router/acquisition多版本历史探索,研究对象与当前SFRA A/B路线不同；v5组件阶梯中融合、TailAgg和rescue未显示预期收益。,停止扩展旧分支；保留各版数字和负结果，缺类/同曲线seed单独标注。,120,58.60355472564697,4,3,"{""建议归档"": 4}",
cifar100_LT/fedtef_v2_strong_k30_hard_l05_margin_prior,建议归档,旧 FedTEF 路线,prompt/adapter/memory/router/acquisition多版本历史探索,研究对象与当前SFRA A/B路线不同；v5组件阶梯中融合、TailAgg和rescue未显示预期收益。,停止扩展旧分支；保留各版数字和负结果，缺类/同曲线seed单独标注。,201,59.085641860961914,6,6,"{""建议归档"": 6}",
cifar100_LT/fedtef_v3_prior_base_samplegate_conflict,建议归档,旧 FedTEF 路线,prompt/adapter/memory/router/acquisition多版本历史探索,研究对象与当前SFRA A/B路线不同；v5组件阶梯中融合、TailAgg和rescue未显示预期收益。,停止扩展旧分支；保留各版数字和负结果，缺类/同曲线seed单独标注。,34,11.149553298950195,1,1,"{""建议归档"": 1}",
cifar100_LT/fedtef_v5_adapter_dirichlet_evidence_lifecycle,建议归档,旧 FedTEF 路线,prompt/adapter/memory/router/acquisition多版本历史探索,研究对象与当前SFRA A/B路线不同；v5组件阶梯中融合、TailAgg和rescue未显示预期收益。,停止扩展旧分支；保留各版数字和负结果，缺类/同曲线seed单独标注。,101,33.01877021789551,3,2,"{""建议归档"": 3}",
cifar100_LT/fedtef_v5_component_ladder,建议归档,旧 FedTEF 路线,prompt/adapter/memory/router/acquisition多版本历史探索,研究对象与当前SFRA A/B路线不同；v5组件阶梯中融合、TailAgg和rescue未显示预期收益。,停止扩展旧分支；保留各版数字和负结果，缺类/同曲线seed单独标注。,182,31.536086082458496,8,0,"{""建议归档"": 8}",output/cifar100_LT/fedtef_v5_component_ladder/fedtef_v5_component_report.md
cifar100_LT/fedtef_v6_low_exposure_router_dirichlet,建议归档,旧 FedTEF 路线,prompt/adapter/memory/router/acquisition多版本历史探索,研究对象与当前SFRA A/B路线不同；v5组件阶梯中融合、TailAgg和rescue未显示预期收益。,停止扩展旧分支；保留各版数字和负结果，缺类/同曲线seed单独标注。,37,12.765798568725586,1,1,"{""建议归档"": 1}",
