run_id,family,run_path,description,method_recorded,trainer,dataset,partition,seed,rank,precision,known_protocol,normal_training,extra_training,loss,aggregation,status,first_round,last_round,observed_rounds,raw_metric_rows,duplicate_round_conflicts,window_start,window_end,last20_overall,last20_head20,last20_middle60,last20_tail,last20_nontail,last20_many_gt100,last20_medium20to100,last20_few_lt20,final_overall,final_tail,tail_peak,tail_peak_round,tail_peak_to_last,initial_tail,num_classes,num_clients,global_count_hash,client_count_hash,global_lt_fingerprint,tail_carriers,client_min,client_max,manifest_sha256,per_class_files,metric_comparisons,incomplete_per_class_files,incomplete_per_class_examples,max_recomputation_error,recomputation_status,normal_optimizer_steps,extra_optimizer_steps,total_local_optimizer_steps,functional_correction_steps,elapsed_seconds,notes,curve_source,completion_source,config_scalars,metrics_sha256,curve_fingerprint,duplicate_curve_group,preferred_result_path,curve_copy_role
Re4a3a6cc1,a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c1,固定A，正常训练B并额外训练B（早期协议）,ClipLora,ClipLora,Cifar100_LT,client-longtail,42,4,fp32,4/FP32,冻结当前A，只更新B；每轮3 epoch,9次额外B更新，各1 epoch,普通 CE,按样本量聚合,已记录到第100轮或以后,0,100,101,101,,81,100,67.6975,77.44,64.435,67.74249999999999,67.68625,73.25142857142858,64.14285714285714,65.365,67.77,67.55,68.05,84,0.5,66.35,100,30,dccc4466cfc50d3fc557d32a0d1bb8a7adc9e81ac6b171e47446dfaadfa985ef,03c0a7a963d31a520441bfe39cdfd888a6a84b6e67968a41f4b6ad1af4512f9b,898ab6b4d75ba8f31be40f5219696d98204c1506656c265cc1b3b68eff508a81,3.6500000953674316,39.0,638.0,,101,303,0,[],0.0,逐类核对通过,,,,,,额外阶段在第10、20、…、90轮；早期评估/RNG协议，与后期CE组分别保留,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c1/round_metrics.csv,,"{""a_refresh_config.variant"": ""c1"", ""a_refresh_config.rank"": 4, ""a_refresh_config.alpha"": 1, ""a_refresh_config.scaling"": 0.5, ""a_refresh_config.refresh_epochs"": 1, ""a_refresh_config.refresh_lr"": 0.001, ""a_refresh_config.refresh_momentum"": 0.9, ""a_refresh_config.refresh_weight_decay"": 0.0, ""a_refresh_config.gap_definition"": ""positive(CE_shared_after_B_aggregation - CE_local_teacher)"", ""a_refresh_config.gap_role"": ""within_client_class_direction_not_client_server_weight_or_gap_amplitude"", ""a_refresh_config.probe_protocol"": ""training_set_functional_gap_proxy"", ""a_refresh_config.probe_excluded_from_normal_training"": false, ""a_refresh_config.probe_excluded_from_refresh_training"": false, ""a_refresh_config.probe_uses_global_test"": false, ""a_refresh_config.loss"": ""batch_mean(CE * gap[label] / (client_frequency_mean_gap + 1e-12))"", ""a_refresh_config.all_zero_gap"": ""zero_update_without_CE_fallback"", ""a_refresh_config.aggregation"": ""original_sample_weights_including_zero_updates"", ""a_refresh_config.normal_optimizer_steps_expected"": 105600, ""a_refresh_config.refresh_optimizer_steps_expected"": 3168, ""a_refresh_config.privacy"": ""no_class_statistics_required_for_updates; not_a_formal_privacy_guarantee""}",08e77aa20ad3fea633962c760089897e866b065a714da106d5136da5ddf5be26,ce7f9475ff9a3a1d5196924628a2706428e93db0e5ad2f0c39e7c486727b5266,Dce7f9475,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c1,推荐核对入口
Rc521cdbcf,a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c2,正常只训练B，间歇额外更新A（早期协议）,ClipLora,ClipLora,Cifar100_LT,client-longtail,42,4,fp32,4/FP32,冻结当前A，只更新B；每轮3 epoch,9次额外A更新，各1 epoch；冻结共同B,普通 CE,按样本量聚合,已记录到第100轮或以后,0,100,101,101,,81,100,65.89,83.91999999999999,62.58416666666667,57.777499999999996,67.918125,77.75285714285715,62.529999999999994,55.970000000000006,65.48,55.8,68.5,31,12.700000000000003,66.35,100,30,dccc4466cfc50d3fc557d32a0d1bb8a7adc9e81ac6b171e47446dfaadfa985ef,03c0a7a963d31a520441bfe39cdfd888a6a84b6e67968a41f4b6ad1af4512f9b,898ab6b4d75ba8f31be40f5219696d98204c1506656c265cc1b3b68eff508a81,3.6500000953674316,39.0,638.0,,101,303,0,[],0.0,逐类核对通过,,,,,,额外阶段在第10、20、…、90轮；早期评估/RNG协议，与后期CE组分别保留,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c2/round_metrics.csv,,"{""a_refresh_config.variant"": ""c2"", ""a_refresh_config.rank"": 4, ""a_refresh_config.alpha"": 1, ""a_refresh_config.scaling"": 0.5, ""a_refresh_config.refresh_epochs"": 1, ""a_refresh_config.refresh_lr"": 0.001, ""a_refresh_config.refresh_momentum"": 0.9, ""a_refresh_config.refresh_weight_decay"": 0.0, ""a_refresh_config.gap_definition"": ""positive(CE_shared_after_B_aggregation - CE_local_teacher)"", ""a_refresh_config.gap_role"": ""within_client_class_direction_not_client_server_weight_or_gap_amplitude"", ""a_refresh_config.probe_protocol"": ""training_set_functional_gap_proxy"", ""a_refresh_config.probe_excluded_from_normal_training"": false, ""a_refresh_config.probe_excluded_from_refresh_training"": false, ""a_refresh_config.probe_uses_global_test"": false, ""a_refresh_config.loss"": ""batch_mean(CE * gap[label] / (client_frequency_mean_gap + 1e-12))"", ""a_refresh_config.all_zero_gap"": ""zero_update_without_CE_fallback"", ""a_refresh_config.aggregation"": ""original_sample_weights_including_zero_updates"", ""a_refresh_config.normal_optimizer_steps_expected"": 105600, ""a_refresh_config.refresh_optimizer_steps_expected"": 3168, ""a_refresh_config.privacy"": ""no_class_statistics_required_for_updates; not_a_formal_privacy_guarantee""}",14fb05c92e37d2fb8cebcdcc4bd7b0ab5a50c150db44d503d9e0a046443eb275,c6cd2be8aae1ae59586f08b21e9e4c39de09e2fe26a08ab4923c19c376c661b0,Dc6cd2be8,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c2,推荐核对入口
R102f075dc,a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c3,正常只训练B，以本地功能缺口加权额外更新A,ClipLora,ClipLora,Cifar100_LT,client-longtail,42,4,fp32,4/FP32,冻结当前A，只更新B；每轮3 epoch,9次额外A更新，各1 epoch；冻结共同B,正常CE；额外A用频数归一化的缺口加权CE,按样本量聚合,已记录到第100轮或以后,0,100,101,101,,81,100,65.2645,84.21,62.62833333333333,54.2275,68.02375,78.24428571428572,62.667142857142856,53.151666666666664,65.05,52.35,68.35,26,15.999999999999993,66.35,100,30,dccc4466cfc50d3fc557d32a0d1bb8a7adc9e81ac6b171e47446dfaadfa985ef,03c0a7a963d31a520441bfe39cdfd888a6a84b6e67968a41f4b6ad1af4512f9b,898ab6b4d75ba8f31be40f5219696d98204c1506656c265cc1b3b68eff508a81,3.6500000953674316,39.0,638.0,,101,303,0,[],0.0,逐类核对通过,,,,,,额外阶段在第10、20、…、90轮；早期评估/RNG协议，与后期CE组分别保留,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c3/round_metrics.csv,,"{""a_refresh_config.variant"": ""c3"", ""a_refresh_config.rank"": 4, ""a_refresh_config.alpha"": 1, ""a_refresh_config.scaling"": 0.5, ""a_refresh_config.refresh_epochs"": 1, ""a_refresh_config.refresh_lr"": 0.001, ""a_refresh_config.refresh_momentum"": 0.9, ""a_refresh_config.refresh_weight_decay"": 0.0, ""a_refresh_config.gap_definition"": ""positive(CE_shared_after_B_aggregation - CE_local_teacher)"", ""a_refresh_config.gap_role"": ""within_client_class_direction_not_client_server_weight_or_gap_amplitude"", ""a_refresh_config.probe_protocol"": ""training_set_functional_gap_proxy"", ""a_refresh_config.probe_excluded_from_normal_training"": false, ""a_refresh_config.probe_excluded_from_refresh_training"": false, ""a_refresh_config.probe_uses_global_test"": false, ""a_refresh_config.loss"": ""batch_mean(CE * gap[label] / (client_frequency_mean_gap + 1e-12))"", ""a_refresh_config.all_zero_gap"": ""zero_update_without_CE_fallback"", ""a_refresh_config.aggregation"": ""original_sample_weights_including_zero_updates"", ""a_refresh_config.normal_optimizer_steps_expected"": 105600, ""a_refresh_config.refresh_optimizer_steps_expected"": 3168, ""a_refresh_config.privacy"": ""no_class_statistics_required_for_updates; not_a_formal_privacy_guarantee""}",e525620213ea8e906d88888c0c5801802dd73c78bceaca3dc7b7eaf3021b5794,0b87bcaba0417037e86f7d23b03a3f74f1dff6fffe20ab5c1e67d3560524050e,,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c3,独立目录记录
Ree8e7f8ce,a_refresh_topology_bridge_analysis,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/client-longtail/c1,,ClipLora,ClipLora,Cifar100_LT,client-longtail,42,4,fp32,,,,,fedavg,已记录到第100轮或以后,0,100,101,101,,81,100,67.6975,77.44,64.435,67.74249999999999,67.68625,73.25142857142858,64.14285714285714,65.365,67.77,67.55,68.05,84,0.5,66.35,100,30,dccc4466cfc50d3fc557d32a0d1bb8a7adc9e81ac6b171e47446dfaadfa985ef,03c0a7a963d31a520441bfe39cdfd888a6a84b6e67968a41f4b6ad1af4512f9b,898ab6b4d75ba8f31be40f5219696d98204c1506656c265cc1b3b68eff508a81,3.6500000953674316,39.0,638.0,cb41d01f365c4cd96b52ea1a45c068f639d61de207e38b1a1b023b909812265c,101,303,0,[],0.0,逐类核对通过,,,,,,,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/client-longtail/c1/round_metrics.csv,,"{""a_refresh_config.variant"": ""c1"", ""a_refresh_config.rank"": 4, ""a_refresh_config.alpha"": 1, ""a_refresh_config.scaling"": 0.5, ""a_refresh_config.refresh_epochs"": 1, ""a_refresh_config.refresh_lr"": 0.001, ""a_refresh_config.refresh_momentum"": 0.9, ""a_refresh_config.refresh_weight_decay"": 0.0, ""a_refresh_config.gap_definition"": ""positive(CE_shared_after_B_aggregation - CE_local_teacher)"", ""a_refresh_config.gap_role"": ""within_client_class_direction_not_client_server_weight_or_gap_amplitude"", ""a_refresh_config.probe_protocol"": ""training_set_functional_gap_proxy"", ""a_refresh_config.probe_excluded_from_normal_training"": false, ""a_refresh_config.probe_excluded_from_refresh_training"": false, ""a_refresh_config.probe_uses_global_test"": false, ""a_refresh_config.loss"": ""batch_mean(CE * gap[label] / (client_frequency_mean_gap + 1e-12))"", ""a_refresh_config.all_zero_gap"": ""zero_update_without_CE_fallback"", ""a_refresh_config.aggregation"": ""original_sample_weights_including_zero_updates"", ""a_refresh_config.normal_optimizer_steps_expected"": 105600, ""a_refresh_config.refresh_optimizer_steps_expected"": 3168, ""a_refresh_config.privacy"": ""no_class_statistics_required_for_updates; not_a_formal_privacy_guarantee""}",08e77aa20ad3fea633962c760089897e866b065a714da106d5136da5ddf5be26,ce7f9475ff9a3a1d5196924628a2706428e93db0e5ad2f0c39e7c486727b5266,Dce7f9475,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c1,曲线相同的副本候选
Ra573bd05e,a_refresh_topology_bridge_analysis,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/client-longtail/c2,,ClipLora,ClipLora,Cifar100_LT,client-longtail,42,4,fp32,,,,,fedavg,已记录到第100轮或以后,0,100,101,101,,81,100,65.89,83.91999999999999,62.58416666666667,57.777499999999996,67.918125,77.75285714285715,62.529999999999994,55.970000000000006,65.48,55.8,68.5,31,12.700000000000003,66.35,100,30,dccc4466cfc50d3fc557d32a0d1bb8a7adc9e81ac6b171e47446dfaadfa985ef,03c0a7a963d31a520441bfe39cdfd888a6a84b6e67968a41f4b6ad1af4512f9b,898ab6b4d75ba8f31be40f5219696d98204c1506656c265cc1b3b68eff508a81,3.6500000953674316,39.0,638.0,cb41d01f365c4cd96b52ea1a45c068f639d61de207e38b1a1b023b909812265c,101,303,0,[],0.0,逐类核对通过,,,,,,,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/client-longtail/c2/round_metrics.csv,,"{""a_refresh_config.variant"": ""c2"", ""a_refresh_config.rank"": 4, ""a_refresh_config.alpha"": 1, ""a_refresh_config.scaling"": 0.5, ""a_refresh_config.refresh_epochs"": 1, ""a_refresh_config.refresh_lr"": 0.001, ""a_refresh_config.refresh_momentum"": 0.9, ""a_refresh_config.refresh_weight_decay"": 0.0, ""a_refresh_config.gap_definition"": ""positive(CE_shared_after_B_aggregation - CE_local_teacher)"", ""a_refresh_config.gap_role"": ""within_client_class_direction_not_client_server_weight_or_gap_amplitude"", ""a_refresh_config.probe_protocol"": ""training_set_functional_gap_proxy"", ""a_refresh_config.probe_excluded_from_normal_training"": false, ""a_refresh_config.probe_excluded_from_refresh_training"": false, ""a_refresh_config.probe_uses_global_test"": false, ""a_refresh_config.loss"": ""batch_mean(CE * gap[label] / (client_frequency_mean_gap + 1e-12))"", ""a_refresh_config.all_zero_gap"": ""zero_update_without_CE_fallback"", ""a_refresh_config.aggregation"": ""original_sample_weights_including_zero_updates"", ""a_refresh_config.normal_optimizer_steps_expected"": 105600, ""a_refresh_config.refresh_optimizer_steps_expected"": 3168, ""a_refresh_config.privacy"": ""no_class_statistics_required_for_updates; not_a_formal_privacy_guarantee""}",e096c40c10f14cdf742095aac5f59c10ce0022d9bd9aecfd56550a3f391c4425,c6cd2be8aae1ae59586f08b21e9e4c39de09e2fe26a08ab4923c19c376c661b0,Dc6cd2be8,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c2,曲线相同的副本候选
R0d110517b,a_refresh_topology_bridge_analysis,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/matched-dirichlet/c1,固定A，正常训练B并额外训练B（早期协议）,ClipLora,ClipLora,Cifar100_LT,matched-dirichlet,42,4,fp32,4/FP32,冻结当前A，只更新B；每轮3 epoch,9次额外B更新，各1 epoch,普通 CE,按样本量聚合,已记录到第100轮或以后,0,100,101,101,,81,100,67.675,77.52000000000001,64.3175,67.9025,67.61812499999999,73.16714285714286,64.09142857142857,65.44833333333334,67.81,67.85,68.0,31,0.15000000000000568,66.35,100,30,dccc4466cfc50d3fc557d32a0d1bb8a7adc9e81ac6b171e47446dfaadfa985ef,03c0a7a963d31a520441bfe39cdfd888a6a84b6e67968a41f4b6ad1af4512f9b,898ab6b4d75ba8f31be40f5219696d98204c1506656c265cc1b3b68eff508a81,5.349999904632568,39.0,638.0,d5ffdd7eb3ac0342b5dcad124a0c228501277fc51ded390e39510818f00465c9,101,303,0,[],0.0,逐类核对通过,,,,,,额外阶段在第10、20、…、90轮；早期评估/RNG协议，与后期CE组分别保留,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/matched-dirichlet/c1/round_metrics.csv,,"{""a_refresh_config.variant"": ""c1"", ""a_refresh_config.rank"": 4, ""a_refresh_config.alpha"": 1, ""a_refresh_config.scaling"": 0.5, ""a_refresh_config.refresh_epochs"": 1, ""a_refresh_config.refresh_lr"": 0.001, ""a_refresh_config.refresh_momentum"": 0.9, ""a_refresh_config.refresh_weight_decay"": 0.0, ""a_refresh_config.gap_definition"": ""positive(CE_shared_after_B_aggregation - CE_local_teacher)"", ""a_refresh_config.gap_role"": ""within_client_class_direction_not_client_server_weight_or_gap_amplitude"", ""a_refresh_config.probe_protocol"": ""training_set_functional_gap_proxy"", ""a_refresh_config.probe_excluded_from_normal_training"": false, ""a_refresh_config.probe_excluded_from_refresh_training"": false, ""a_refresh_config.probe_uses_global_test"": false, ""a_refresh_config.loss"": ""batch_mean(CE * gap[label] / (client_frequency_mean_gap + 1e-12))"", ""a_refresh_config.all_zero_gap"": ""zero_update_without_CE_fallback"", ""a_refresh_config.aggregation"": ""original_sample_weights_including_zero_updates"", ""a_refresh_config.normal_optimizer_steps_expected"": 105600, ""a_refresh_config.refresh_optimizer_steps_expected"": 3168, ""a_refresh_config.privacy"": ""no_class_statistics_required_for_updates; not_a_formal_privacy_guarantee""}",cdbb83ab3b1da4cc7e45742b5dad4e29c2bff5959f8743f7ee638e8ca3818b98,220cc672849f00602616c4463608bc87b863264ef3bed27bcdd15da859a76e5b,,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/matched-dirichlet/c1,独立目录记录
R10cd6101c,a_refresh_topology_bridge_analysis,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/matched-dirichlet/c2,正常只训练B，间歇额外更新A（早期协议）,ClipLora,ClipLora,Cifar100_LT,matched-dirichlet,42,4,fp32,4/FP32,冻结当前A，只更新B；每轮3 epoch,9次额外A更新，各1 epoch；冻结共同B,普通 CE,按样本量聚合,已记录到第100轮或以后,0,100,101,101,,81,100,66.25800000000001,83.83250000000001,62.61333333333333,59.61749999999999,67.918125,77.64285714285714,62.64571428571429,57.19,65.96,58.35,68.65,31,10.300000000000004,66.35,100,30,dccc4466cfc50d3fc557d32a0d1bb8a7adc9e81ac6b171e47446dfaadfa985ef,03c0a7a963d31a520441bfe39cdfd888a6a84b6e67968a41f4b6ad1af4512f9b,898ab6b4d75ba8f31be40f5219696d98204c1506656c265cc1b3b68eff508a81,5.349999904632568,39.0,638.0,d5ffdd7eb3ac0342b5dcad124a0c228501277fc51ded390e39510818f00465c9,101,303,0,[],0.0,逐类核对通过,,,,,,额外阶段在第10、20、…、90轮；早期评估/RNG协议，与后期CE组分别保留,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/matched-dirichlet/c2/round_metrics.csv,,"{""a_refresh_config.variant"": ""c2"", ""a_refresh_config.rank"": 4, ""a_refresh_config.alpha"": 1, ""a_refresh_config.scaling"": 0.5, ""a_refresh_config.refresh_epochs"": 1, ""a_refresh_config.refresh_lr"": 0.001, ""a_refresh_config.refresh_momentum"": 0.9, ""a_refresh_config.refresh_weight_decay"": 0.0, ""a_refresh_config.gap_definition"": ""positive(CE_shared_after_B_aggregation - CE_local_teacher)"", ""a_refresh_config.gap_role"": ""within_client_class_direction_not_client_server_weight_or_gap_amplitude"", ""a_refresh_config.probe_protocol"": ""training_set_functional_gap_proxy"", ""a_refresh_config.probe_excluded_from_normal_training"": false, ""a_refresh_config.probe_excluded_from_refresh_training"": false, ""a_refresh_config.probe_uses_global_test"": false, ""a_refresh_config.loss"": ""batch_mean(CE * gap[label] / (client_frequency_mean_gap + 1e-12))"", ""a_refresh_config.all_zero_gap"": ""zero_update_without_CE_fallback"", ""a_refresh_config.aggregation"": ""original_sample_weights_including_zero_updates"", ""a_refresh_config.normal_optimizer_steps_expected"": 105600, ""a_refresh_config.refresh_optimizer_steps_expected"": 3168, ""a_refresh_config.privacy"": ""no_class_statistics_required_for_updates; not_a_formal_privacy_guarantee""}",0b9bd1314e97f4bc8bd982afaadbd198d93fceafd71c8c5894e2134392527911,c3fec1b551f1cb00d05ac834bcce07c84ca6e39747ffdbefb3adf5e2e3a1ad82,,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/matched-dirichlet/c2,独立目录记录
R14e927947,boundary_gate_clientlt_seed42,output/boundary_gate_clientlt_seed42/clientlt_seed42_round10,,,PromptFL,Cifar100_LT,client-longtail,42,,,,,,,,只有日志或配置，未发现精度结果,,,0,0,,,,,,,,,,,,,,,,,,100,30,dccc4466cfc50d3fc557d32a0d1bb8a7adc9e81ac6b171e47446dfaadfa985ef,,898ab6b4d75ba8f31be40f5219696d98204c1506656c265cc1b3b68eff508a81,3.6500000953674316,39.0,638.0,,0,0,0,[],,缺少可交叉核对的分组或逐类文件,,,,,,,per_class CSV,,{},,,,output/boundary_gate_clientlt_seed42/clientlt_seed42_round10,独立目录记录
Rc69998660,capt_global_start_seed42_results,output/capt_global_start_seed42_results/capt_global_start_lambda1/seed42/client-longtail,,CAPT,CAPT,Cifar100_LT,client-longtail,42,,,,,,,,短运行或本地结果不完整,1,99,37,37,,,,,,,,,,,,67.26,70.3,71.55,4,1.25,,100,30,dccc4466cfc50d3fc557d32a0d1bb8a7adc9e81ac6b171e47446dfaadfa985ef,5944353a8296fcb9500e66e0e50a0ade6f19300d9d070fc5a9443543e27b215d,898ab6b4d75ba8f31be40f5219696d98204c1506656c265cc1b3b68eff508a81,2.0999999046325684,41.0,575.0,,37,111,0,[],0.0,逐类核对通过,,,,,,,output/capt_global_start_seed42_results/capt_global_start_lambda1/seed42/client-longtail/round_metrics.csv,,{},b4a5a150b5014a3facbb2323cd8f7e736478df82c8286c5399106c4fe9f7f0cf,6ea6f7e90e1b7ae96edae7be8fe080ed6440903d803b5d5ba387611ae5c3f7e8,,output/capt_global_start_seed42_results/capt_global_start_lambda1/seed42/client-longtail,独立目录记录
R033123cb7,capt_global_start_seed42_results,output/capt_global_start_seed42_results/capt_global_start_lambda1/seed42/noniid-labeldir-fine,,CAPT,CAPT,Cifar100_LT,noniid-labeldir-fine,42,,,,,,,,短运行或本地结果不完整,1,99,37,37,,,,,,,,,,,,68.58,64.2,64.2,99,0.0,,100,30,dccc4466cfc50d3fc557d32a0d1bb8a7adc9e81ac6b171e47446dfaadfa985ef,f09c8df7e4363ca0ac34d917f817fb2e56d0585ab152358981dc5e51650e458d,898ab6b4d75ba8f31be40f5219696d98204c1506656c265cc1b3b68eff508a81,6.050000190734863,229.0,500.0,,37,111,0,[],0.0,逐类核对通过,,,,,,,output/capt_global_start_seed42_results/capt_global_start_lambda1/seed42/noniid-labeldir-fine/round_metrics.csv,,{},4884efec52018b843af45729dbc7382fb3d39daca27db49d69b9e27fe3f9bfb8,a5c61e2e9d6917090e60a8b5b566702960b6282413ddddc367e2aa403b54f040,,output/capt_global_start_seed42_results/capt_global_start_lambda1/seed42/noniid-labeldir-fine,独立目录记录
