类别,实验具体设置,是否LoRA,数据划分,rank/精度,正常训练阶段,额外更新阶段,损失/类别校正,服务器聚合/接收方式,状态与统计口径,Overall,Non-tail80,Tail20,Tail第100轮,Tail峰值到最终下降pp,说明,结果来源
分离训练主线,固定A、保留私有B，接收时保护1个受损类别,有,Client-LT,2/AMP,冻结A，只更新客户端私有B,无独立A更新,普通 CE,私有B持续保留；Top-1类别投影/回溯接收保护,已完成100轮,67.624,67.731875,67.1925,66.95,0.9500000000000028,,output/selective_sync_v1_training_check/L1/round_metrics.csv
分离训练主线,固定A、保留私有B，接收时保护3个受损类别,有,Client-LT,2/AMP,冻结A，只更新客户端私有B,无独立A更新,普通 CE,私有B持续保留；Top-3类别投影/回溯接收保护,已完成100轮,68.108,68.36375,67.08500000000001,66.9,0.8499999999999943,,output/selective_sync_v1_training_check/L3/round_metrics.csv
分离训练主线,固定A、保留私有B，接收时保护5个受损类别,有,Client-LT,2/AMP,冻结A，只更新客户端私有B,无独立A更新,普通 CE,私有B持续保留；Top-5类别投影/回溯接收保护,已完成100轮,68.1435,68.4225,67.0275,66.7,0.8999999999999915,,output/selective_sync_v1_training_check/L5/round_metrics.csv
分离训练主线,固定A、保留私有B，接收时保护10个受损类别,有,Client-LT,2/AMP,冻结A，只更新客户端私有B,无独立A更新,普通 CE,私有B持续保留；Top-10类别投影/回溯接收保护,已完成100轮,68.185,68.434375,67.1875,66.9,0.6999999999999886,,output/selective_sync_v1_training_check/L10/round_metrics.csv
分离训练主线,固定A，只训练B，样本量聚合,有,Client-LT,2/FP32,冻结A，只更新B；每轮3 epoch,无,普通 CE,B按样本量q聚合,已完成100轮,67.5785,67.698125,67.1,66.8,0.8500000000000085,p由类别先验平衡求解；客户端训练仍为CE，未加训练logit校正,output/v2_capt_analysis/output/cifar100_LT/v2_matched/seed42/fedavg/round_metrics.csv
分离训练主线,固定A，只训练B，静态调整客户端权重,有,Client-LT,2/FP32,冻结A，只更新B；每轮3 epoch,无,普通 CE,B权重=0.12q+0.88p,已完成100轮,67.584,67.604375,67.5025,67.45,0.25,p由类别先验平衡求解；客户端训练仍为CE，未加训练logit校正,output/v2_capt_analysis/output/cifar100_LT/v2_matched/seed42/static/round_metrics.csv
分离训练主线,固定A，只训练B，逐步调整客户端权重,有,Client-LT,2/FP32,冻结A，只更新B；每轮3 epoch,无,普通 CE,"B权重=(1−β)q+βp；β=clip((轮次−5)/15,0,1)",已完成100轮,67.5895,67.61125,67.5025,67.45,0.25,p由类别先验平衡求解；客户端训练仍为CE，未加训练logit校正,output/v2_capt_analysis/output/cifar100_LT/v2_matched/seed42/progressive/round_metrics.csv
分离训练主线,固定A，只训练B，rank=4,有,Client-LT,4/FP32,冻结A，只更新B；每轮3 epoch,无,普通 CE,按样本量聚合,已完成100轮,67.681,67.6575,67.775,67.5,0.5499999999999972,alpha=1，实际缩放=1/√rank；改变rank也改变缩放与初始子空间,output/rank4_fedavg_analysis/output/cifar100_LT/v2_rank_sweep/seed42/rank4_fedavg/round_metrics.csv
分离训练主线,固定A，只训练B，rank=8,有,Client-LT,8/FP32,冻结A，只更新B；每轮3 epoch,无,普通 CE,按样本量聚合,已完成100轮,67.3695,67.32375,67.5525,67.6,0.25,alpha=1，实际缩放=1/√rank；改变rank也改变缩放与初始子空间,output/rank8_fedavg_analysis/output/cifar100_LT/v2_rank_sweep/seed42/rank8_fedavg/round_metrics.csv
分离训练主线,固定A，正常训练B并额外训练B（早期协议）,有,Client-LT,4/FP32,冻结当前A，只更新B；每轮3 epoch,9次额外B更新，各1 epoch,普通 CE,按样本量聚合,已完成100轮,67.6975,67.68625,67.7425,67.55,0.5,额外阶段在第10、20、…、90轮；早期评估/RNG协议，与后期CE组分别保留,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c1/round_metrics.csv
