编号,整理建议,故事环节,实验用途,已有结果如何理解,下一步,证据质量提醒,协议组,实验族,记录方法,划分,记录seed,LoRA rank,精度类型,本地状态,首记录轮,末记录轮,记录点数,末20轮起点,末20轮终点,末20轮Overall,末20轮Head20,末20轮Middle60,末20轮Tail20,末20轮NonTail80,末20轮Many大于100,末20轮Medium20至100,末20轮Few小于20,最后记录Overall,最后记录Tail,观测Tail峰值,观测峰值轮,观测峰值至最后回落pp,逐类复算状态,缺类逐类文件数,相同曲线副本组,跨seed同曲线组,正常训练,额外训练,损失,聚合,正常steps,额外steps,本地总steps,功能修正steps,原始路径,推荐结果入口,曲线来源
Re4a3a6cc1,建议归档,旧 A 方案,CE/gap刷新A pilot,C3相对C2 late Tail更低3.55点；更新幅度也更大；当前配方失败。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,P3 CE/rank4/FP32/旧刷新与固定边际桥接,a_refresh_c1_c2_c3_analysis,ClipLora,client-longtail,42,4,fp32,已记录到第100轮或以后,0,100,101,81,100,67.6975,77.44,64.435,67.74249999999999,67.68625,73.25142857142858,64.14285714285714,65.365,67.77,67.55,68.05,84,0.5,逐类核对通过,0,Dce7f9475,,冻结当前A，只更新B；每轮3 epoch,9次额外B更新，各1 epoch,普通 CE,按样本量聚合,,,,,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c1,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/client-longtail/c1,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c1/round_metrics.csv
Rc521cdbcf,建议归档,旧 A 方案,CE/gap刷新A pilot,C3相对C2 late Tail更低3.55点；更新幅度也更大；当前配方失败。,已有相同曲线的推荐入口；此副本保留追溯，不算新增重复实验。,,P3 CE/rank4/FP32/旧刷新与固定边际桥接,a_refresh_c1_c2_c3_analysis,ClipLora,client-longtail,42,4,fp32,已记录到第100轮或以后,0,100,101,81,100,65.89,83.91999999999999,62.58416666666667,57.777499999999996,67.918125,77.75285714285715,62.529999999999994,55.970000000000006,65.48,55.8,68.5,31,12.700000000000003,逐类核对通过,0,Dc6cd2be8,,冻结当前A，只更新B；每轮3 epoch,9次额外A更新，各1 epoch；冻结共同B,普通 CE,按样本量聚合,,,,,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c2,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/client-longtail/c2,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c2/round_metrics.csv
R102f075dc,建议归档,旧 A 方案,CE/gap刷新A pilot,C3相对C2 late Tail更低3.55点；更新幅度也更大；当前配方失败。,停止扩展gap配方；C1/C2已有桥接复用，留一份失败结论。,,P3 CE/rank4/FP32/旧刷新与固定边际桥接,a_refresh_c1_c2_c3_analysis,ClipLora,client-longtail,42,4,fp32,已记录到第100轮或以后,0,100,101,81,100,65.2645,84.21,62.62833333333333,54.2275,68.02375,78.24428571428572,62.667142857142856,53.151666666666664,65.05,52.35,68.35,26,15.999999999999993,逐类核对通过,0,,,冻结当前A，只更新B；每轮3 epoch,9次额外A更新，各1 epoch；冻结共同B,正常CE；额外A用频数归一化的缺口加权CE,按样本量聚合,,,,,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c3,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c3,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c3/round_metrics.csv
Ree8e7f8ce,待定用途,2 功能机制,CE下 C1/C2 × 两种固定边际拓扑的阶段归因,C2两种拓扑都退化；Client-LT放大late Tail损失1.68点；后续B阶段有明显路径依赖。,机制附录候选；不与LA下E3学习收益混为同一协议。,,P3 CE/rank4/FP32/旧刷新与固定边际桥接,a_refresh_topology_bridge_analysis,ClipLora,client-longtail,42,4,fp32,已记录到第100轮或以后,0,100,101,81,100,67.6975,77.44,64.435,67.74249999999999,67.68625,73.25142857142858,64.14285714285714,65.365,67.77,67.55,68.05,84,0.5,逐类核对通过,0,Dce7f9475,,,,,fedavg,,,,,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/client-longtail/c1,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/client-longtail/c1,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/client-longtail/c1/round_metrics.csv
Ra573bd05e,待定用途,2 功能机制,CE下 C1/C2 × 两种固定边际拓扑的阶段归因,C2两种拓扑都退化；Client-LT放大late Tail损失1.68点；后续B阶段有明显路径依赖。,机制附录候选；不与LA下E3学习收益混为同一协议。,,P3 CE/rank4/FP32/旧刷新与固定边际桥接,a_refresh_topology_bridge_analysis,ClipLora,client-longtail,42,4,fp32,已记录到第100轮或以后,0,100,101,81,100,65.89,83.91999999999999,62.58416666666667,57.777499999999996,67.918125,77.75285714285715,62.529999999999994,55.970000000000006,65.48,55.8,68.5,31,12.700000000000003,逐类核对通过,0,Dc6cd2be8,,,,,fedavg,,,,,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/client-longtail/c2,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/client-longtail/c2,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/client-longtail/c2/round_metrics.csv
R0d110517b,待定用途,2 功能机制,CE下 C1/C2 × 两种固定边际拓扑的阶段归因,C2两种拓扑都退化；Client-LT放大late Tail损失1.68点；后续B阶段有明显路径依赖。,机制附录候选；不与LA下E3学习收益混为同一协议。,,P3 CE/rank4/FP32/旧刷新与固定边际桥接,a_refresh_topology_bridge_analysis,ClipLora,matched-dirichlet,42,4,fp32,已记录到第100轮或以后,0,100,101,81,100,67.675,77.52000000000001,64.3175,67.9025,67.61812499999999,73.16714285714286,64.09142857142857,65.44833333333334,67.81,67.85,68.0,31,0.15000000000000568,逐类核对通过,0,,,冻结当前A，只更新B；每轮3 epoch,9次额外B更新，各1 epoch,普通 CE,按样本量聚合,,,,,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/matched-dirichlet/c1,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/matched-dirichlet/c1,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/matched-dirichlet/c1/round_metrics.csv
R10cd6101c,待定用途,2 功能机制,CE下 C1/C2 × 两种固定边际拓扑的阶段归因,C2两种拓扑都退化；Client-LT放大late Tail损失1.68点；后续B阶段有明显路径依赖。,机制附录候选；不与LA下E3学习收益混为同一协议。,,P3 CE/rank4/FP32/旧刷新与固定边际桥接,a_refresh_topology_bridge_analysis,ClipLora,matched-dirichlet,42,4,fp32,已记录到第100轮或以后,0,100,101,81,100,66.25800000000001,83.83250000000001,62.61333333333333,59.61749999999999,67.918125,77.64285714285714,62.64571428571429,57.19,65.96,58.35,68.65,31,10.300000000000004,逐类核对通过,0,,,冻结当前A，只更新B；每轮3 epoch,9次额外A更新，各1 epoch；冻结共同B,普通 CE,按样本量聚合,,,,,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/matched-dirichlet/c2,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/matched-dirichlet/c2,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/seed42/matched-dirichlet/c2/round_metrics.csv
R14e927947,建议归档,旧 gate / oracle,短程gate、oracle及两轮验证,不能替代100轮单共享模型的适配与保持验证。,停止作为论文主结果；留工程/可行性历史。,本地未发现标准精度CSV；部分诊断入口按设计在全局测试前结束。,H5 其他历史协议；仅在同配置内比较,boundary_gate_clientlt_seed42,,client-longtail,42,,,只有日志或配置，未发现精度结果,,,0,,,,,,,,,,,,,,,,缺少可交叉核对的分组或逐类文件,0,,,,,,,,,,,output/boundary_gate_clientlt_seed42/clientlt_seed42_round10,output/boundary_gate_clientlt_seed42/clientlt_seed42_round10,per_class CSV
Rc69998660,待定用途,外部方法协议,CAPT历史版本、global-start与cluster诊断,高尾类精度受类别提示门槛影响；部分版本有测试反馈或优化器状态共享。,保留协议诊断；未统一之前不作最终严格主表。,,H3 历史CAPT，检查MAB/起点/优化器/稀疏评估,capt_global_start_seed42_results,CAPT,client-longtail,42,,,报告核对外层100轮结束；37次服务器评估，最后评估第99轮,1,99,37,,,,,,,,,,,67.26,70.3,71.55,4,1.25,逐类核对通过,0,,,,,,,,,,,output/capt_global_start_seed42_results/capt_global_start_lambda1/seed42/client-longtail,output/capt_global_start_seed42_results/capt_global_start_lambda1/seed42/client-longtail,output/capt_global_start_seed42_results/capt_global_start_lambda1/seed42/client-longtail/round_metrics.csv
R033123cb7,待定用途,外部方法协议,CAPT历史版本、global-start与cluster诊断,高尾类精度受类别提示门槛影响；部分版本有测试反馈或优化器状态共享。,保留协议诊断；未统一之前不作最终严格主表。,,H3 历史CAPT，检查MAB/起点/优化器/稀疏评估,capt_global_start_seed42_results,CAPT,noniid-labeldir-fine,42,,,报告核对外层100轮结束；37次服务器评估，最后评估第99轮,1,99,37,,,,,,,,,,,68.58,64.2,64.2,99,0.0,逐类核对通过,0,,,,,,,,,,,output/capt_global_start_seed42_results/capt_global_start_lambda1/seed42/noniid-labeldir-fine,output/capt_global_start_seed42_results/capt_global_start_lambda1/seed42/noniid-labeldir-fine,output/capt_global_start_seed42_results/capt_global_start_lambda1/seed42/noniid-labeldir-fine/round_metrics.csv
